"","CustomerID","freq","Total_Sales","Total_Quantity","Country","Classification"
"2651",15955,183,4416.26,2135,"United Kingdom","Iron"
"1610",14534,517,4414.6,2036,"United Kingdom","Iron"
"3138",16626,179,4413.1,2690,"United Kingdom","Iron"
"2599",15874,120,4405.88,2534,"United Kingdom","Iron"
"297",12712,133,4396.13,1062,"Germany","Iron"
"868",13505,215,4393.63,2486,"Switzerland","Iron"
"330",12752,53,4366.78,2262,"Norway","Iron"
"3375",16945,249,4345.50000000001,2725,"United Kingdom","Iron"
"1603",14525,291,4332.2,2696,"United Kingdom","Iron"
"3815",17567,165,4331.48,2632,"United Kingdom","Iron"
"4316",18251,16,4314.72,7824,"United Kingdom","Iron"
"2",12347,182,4310,2458,"Iceland","Iron"
"1962",15034,393,4304.86,2419,"United Kingdom","Iron"
"4087",17937,43,4301.22,1754,"United Kingdom","Iron"
"1802",14800,382,4296.69,3648,"United Kingdom","Iron"
"1523",14422,222,4263.64,2906,"United Kingdom","Iron"
"123",12500,61,4257.82,2678,"Germany","Iron"
"3707",17419,206,4226.57,1876,"United Kingdom","Iron"
"2659",15971,35,4199.85,1717,"United Kingdom","Iron"
"326",12747,103,4196.01,1275,"United Kingdom","Iron"
"1421",14277,224,4186.3,1982,"France","Iron"
"2544",15804,262,4176.69,2561,"United Kingdom","Iron"
"4159",18041,469,4169.09,3813,"United Kingdom","Iron"
"467",12949,215,4167.22,2381,"United Kingdom","Iron"
"1232",14016,160,4161.81,2113,"EIRE","Iron"
"782",13384,152,4151.93,2422,"United Kingdom","Iron"
"4073",17920,691,4151.69999999999,2504,"United Kingdom","Iron"
"3081",16549,979,4150.88999999999,2362,"United Kingdom","Iron"
"2370",15570,322,4150.52,2055,"United Kingdom","Iron"
"1212",13988,234,4147.96,3044,"United Kingdom","Iron"
"2327",15514,178,4139.46,2160,"United Kingdom","Iron"
"1327",14146,207,4127.1,2411,"United Kingdom","Iron"
"178",12569,188,4124.69,1801,"Germany","Iron"
"3111",16592,216,4113.68,2927,"United Kingdom","Iron"
"4089",17940,19,4106.44,9755,"United Kingdom","Iron"
"903",13555,135,4099.28,2620,"United Kingdom","Iron"
"2976",16401,186,4098.32,3882,"United Kingdom","Iron"
"328",12749,199,4090.88,1471,"United Kingdom","Iron"
"85",12449,191,4067.29,1553,"Belgium","Iron"
"1289",14092,213,4061.91,2054,"United Kingdom","Iron"
"4193",18087,2,4055.72,3907,"United Kingdom","Iron"
"1505",14401,182,4051.48,4507,"United Kingdom","Iron"
"3168",16670,249,4050.9,2520,"United Kingdom","Iron"
"410",12867,538,4036.82,4298,"United Kingdom","Iron"
"1088",13815,176,4027.36,2560,"Germany","Iron"
"392",12841,420,4022.35,2757,"United Kingdom","Iron"
"474",12957,238,4017.54,2549,"United Kingdom","Iron"
"28",12378,219,4008.62,2529,"Switzerland","Iron"
"2822",16186,218,4006.94,3020,"United Kingdom","Iron"
"1622",14547,365,4002.59,2667,"United Kingdom","Iron"
"254",12656,124,4000.32,1720,"France","Iron"
"3415",17001,169,3989.57,2164,"United Kingdom","Iron"
"3845",17611,576,3984.22,2560,"United Kingdom","Iron"
"347",12779,149,3981.36,2024,"Poland","Iron"
"312",12727,139,3980.7,2098,"France","Iron"
"2255",15416,191,3969.32,2078,"United Kingdom","Iron"
"1437",14299,143,3965.62,2149,"United Kingdom","Iron"
"634",13183,94,3957.78,2208,"United Kingdom","Iron"
"3967",17769,308,3953.23,1857,"United Kingdom","Iron"
"885",13523,171,3949.88,1740,"United Kingdom","Iron"
"3876",17651,232,3945,3112,"United Kingdom","Iron"
"3833",17593,213,3927.34,3101,"United Kingdom","Iron"
"103",12473,167,3923.55,2427,"Germany","Iron"
"1759",14739,60,3902.28,3820,"United Kingdom","Iron"
"1220",13999,208,3901.81,2243,"United Kingdom","Iron"
"2340",15529,668,3896.38,3453,"United Kingdom","Iron"
"4181",18073,73,3877.52,3108,"United Kingdom","Iron"
"3675",17377,412,3873.77,1999,"United Kingdom","Iron"
"590",13124,235,3866.33,2147,"United Kingdom","Iron"
"2089",15195,1,3861,1404,"United Kingdom","Iron"
"259",12662,230,3849.78,2058,"Germany","Iron"
"2920",16327,319,3844.22,2571,"United Kingdom","Iron"
"3202",16717,198,3843.38,1854,"United Kingdom","Iron"
"694",13266,187,3834.26,4428,"United Kingdom","Iron"
"3480",17091,195,3827.76,1746,"United Kingdom","Iron"
"333",12755,4,3811.95,1491,"Japan","Iron"
"203",12597,206,3811.22,2236,"Spain","Iron"
"816",13435,101,3809.89,2129,"United Kingdom","Iron"
"263",12668,161,3807.15,1634,"Germany","Iron"
"2595",15867,459,3800.14,2044,"United Kingdom","Iron"
"3157",16655,261,3794.52,2367,"United Kingdom","Iron"
"2805",16168,98,3787.6,1892,"United Kingdom","Iron"
"2696",16019,160,3786.24,1733,"United Kingdom","Iron"
"2789",16145,222,3766.79,3105,"United Kingdom","Iron"
"3534",17173,86,3766.6,1122,"United Kingdom","Iron"
"1431",14291,234,3763.55,2719,"United Kingdom","Iron"
"3344",16904,710,3754.27,2034,"United Kingdom","Iron"
"68",12429,97,3750.4,1557,"Denmark","Iron"
"1326",14145,11,3742.2,756,"United Kingdom","Iron"
"902",13552,109,3740.07,1417,"United Kingdom","Iron"
"3098",16570,126,3738.4,2112,"United Kingdom","Iron"
"173",12562,165,3734.79,1754,"France","Iron"
"1423",14282,156,3729.34,2668,"United Kingdom","Iron"
"125",12502,147,3723.87,820,"Spain","Iron"
"989",13680,195,3722.42,1936,"United Kingdom","Iron"
"1483",14364,69,3717.35,1967,"United Kingdom","Iron"
"2578",15845,138,3711.77,1926,"United Kingdom","Iron"
"2409",15622,185,3709.56,1674,"United Kingdom","Iron"
"3580",17238,563,3705.75,1816,"United Kingdom","Iron"
"2548",15808,207,3705.47,1333,"United Kingdom","Iron"
"3999",17819,48,3704.87,1031,"United Kingdom","Iron"
"2862",16240,134,3703.8,1629,"United Kingdom","Iron"
"246",12647,121,3703.32,1426,"Germany","Iron"
"2227",15379,194,3703.29,2305,"United Kingdom","Iron"
"166",12553,191,3692.28,1965,"France","Iron"
"610",13148,318,3690.17,1974,"United Kingdom","Iron"
"2872",16253,123,3683.86,3233,"United Kingdom","Iron"
"2379",15581,150,3679.97,287,"United Kingdom","Iron"
"2167",15296,194,3672.86,1766,"United Kingdom","Iron"
"4186",18079,127,3651.97,7432,"United Kingdom","Iron"
"600",13137,704,3650.41,2226,"United Kingdom","Iron"
"809",13426,157,3641.32,2245,"United Kingdom","Iron"
"222",12619,90,3641.24,3378,"Germany","Iron"
"780",13381,172,3639.31,2029,"United Kingdom","Iron"
"3572",17230,69,3638.41,1651,"United Kingdom","Iron"
"1619",14543,72,3630.33,679,"United Kingdom","Iron"
"3005",16440,281,3628.17,2008,"United Kingdom","Iron"
"741",13327,108,3627.77,1600,"United Kingdom","Iron"
"882",13520,93,3624.35,1649,"Switzerland","Iron"
"3821",17576,411,3622.68,1994,"United Kingdom","Iron"
"560",13082,73,3613.63,4324,"United Kingdom","Iron"
"1250",14040,234,3612.42,1552,"United Kingdom","Iron"
"2319",15505,97,3610.96,2390,"United Kingdom","Iron"
"2026",15113,100,3609.33,2386,"United Kingdom","Iron"
"3789",17528,251,3607.25,2121,"United Kingdom","Iron"
"57",12417,189,3600.2,1538,"Belgium","Iron"
"2305",15484,188,3594.31,3152,"United Kingdom","Iron"
"2864",16242,293,3593.31,1980,"United Kingdom","Iron"
"1317",14132,200,3586.03,3368,"United Kingdom","Iron"
"3197",16712,442,3582.48,1730,"United Kingdom","Iron"
"3553",17203,152,3563.85,2850,"United Kingdom","Iron"
"3756",17491,109,3558.87,2013,"United Kingdom","Iron"
"2351",15544,259,3546.71,3109,"United Kingdom","Iron"
"21",12370,167,3545.69,2353,"Cyprus","Iron"
"1586",14503,164,3543.26,2004,"United Kingdom","Iron"
"90",12454,15,3528.34,1006,"Spain","Iron"
"746",13334,267,3527.97,1771,"United Kingdom","Iron"
"822",13448,194,3522.42,1659,"United Kingdom","Iron"
"1188",13953,20,3515.68,2724,"United Kingdom","Iron"
"1501",14395,350,3507.71,1693,"United Kingdom","Iron"
"2778",16131,78,3506.54,1802,"United Kingdom","Iron"
"3525",17160,228,3503.03,2844,"United Kingdom","Iron"
"1878",14907,165,3501.1,1691,"United Kingdom","Iron"
"3020",16458,202,3482.74,2154,"United Kingdom","Iron"
"2945",16360,661,3478.63,2142,"United Kingdom","Iron"
"1217",13993,121,3466.36,900,"United Kingdom","Iron"
"512",13014,110,3466.28,907,"United Kingdom","Iron"
"2250",15410,122,3450.84,1200,"United Kingdom","Iron"
